event_name     event_lat  event_lon  station     station_lat  station_lon  DT/T    
C051200C       -23.7200  293.1500  YH.G02B      -1.3710  270.2570   -0.1846
C051200C       -23.7200  293.1500  YH.G03       -1.2780  269.5190   -0.0778
C051200C       -23.7200  293.1500  YH.G03       -1.2780  269.5190   -0.2674
C051200C       -23.7200  293.1500  YH.G03       -1.2780  269.5190   -0.2481
C051200C       -23.7200  293.1500  YH.G03       -1.2780  269.5190   -0.2027
C051200C       -23.7200  293.1500  YH.G04B      -0.1700  269.1780   -0.2910
C051200C       -23.7200  293.1500  YH.G04B      -0.1700  269.1780   -0.0383
C051200C       -23.7200  293.1500  YH.G05        0.1360  268.6230   -0.4048
C051200C       -23.7200  293.1500  YH.G06       -0.3020  268.3650   -0.2209
C051200C       -23.7200  293.1500  YH.G06       -0.3020  268.3650   -0.0946
C052597D       -32.0200  180.0500  G.HDC        10.0020  275.8890   -0.1496
C052597D       -32.0200  180.0500  G.HDC        10.0020  275.8890    0.0536
C052597D       -32.0200  180.0500  G.PEL       -33.1440  289.3250   -0.1102
C052597D       -32.0200  180.0500  G.PEL       -33.1440  289.3250    0.0340
C052597D       -32.0200  180.0500  G.PEL       -33.1440  289.3250   -0.1173
C052597D       -32.0200  180.0500  GT.LPAZ     -16.2880  291.8690   -0.0621
C052597D       -32.0200  180.0500  GT.LPAZ     -16.2880  291.8690   -0.1702
C052597D       -32.0200  180.0500  GT.PLCA     -40.7330  289.4490   -0.2269
C052597D       -32.0200  180.0500  GT.PLCA     -40.7330  289.4490   -0.0274
C052597D       -32.0200  180.0500  GT.PLCA     -40.7330  289.4490   -0.2100
C052597D       -32.0200  180.0500  II.EFI      -51.6750  301.9360   -0.1514
C052597D       -32.0200  180.0500  II.EFI      -51.6750  301.9360   -0.0069
C052597D       -32.0200  180.0500  IU.HKT       29.9620  264.1620   -0.0162
C052597D       -32.0200  180.0500  IU.HKT       29.9620  264.1620   -0.0269
C052597D       -32.0200  180.0500  IU.LVC      -22.6130  291.0890   -0.0357
C052597D       -32.0200  180.0500  IU.LVC      -22.6130  291.0890    0.0603
C052597D       -32.0200  180.0500  IU.LVC      -22.6130  291.0890   -0.0847
C052597D       -32.0200  180.0500  IU.LVC      -22.6130  291.0890   -0.0678
C052597D       -32.0200  180.0500  IU.PTCN     -25.0710  229.9050    0.1705
C052597D       -32.0200  180.0500  IU.RAR      -21.2120  200.2270   -0.3382
C052597D       -32.0200  180.0500  IU.RAR      -21.2120  200.2270   -0.2148
C052597D       -32.0200  180.0500  XB.FELL     -52.0570  289.9950   -0.6068
